M1.1,2017-01-31,v2.05, , 84.452856,
M1.2,2017-01-31,v2.05, , 1.000000,
M1.3,2017-01-31,v2.05, , 5.000000,
M1.4,2017-01-31,v2.05, , 19,
M2.1.1.1,2017-01-31,v2.05, , 0.364254,
M2.1.1.2,2017-01-31,v2.05, , 1.000000,
M2.1.1.3,2017-01-31,v2.05, , 3.000000,
M2.1.2.1,2017-01-31,v2.05, , 1.905153,
M2.1.2.2,2017-01-31,v2.05, , 1.000000,
M2.1.2.3,2017-01-31,v2.05, , 2.000000,
M2.1.3.1,2017-01-31,v2.05, , 1.353601,
M2.1.3.2,2017-01-31,v2.05, , 1.000000,
M2.1.3.3,2017-01-31,v2.05, , 2.000000,
M2.1.4.1,2017-01-31,v2.05, , 31.561430,
M2.1.4.2,2017-01-31,v2.05, , 1.000000,
M2.1.4.3,2017-01-31,v2.05, , 2.000000,
M2.1.5,2017-01-31,v2.05, , 5,
M2.2.1.1,2017-01-31,v2.05, , 0.364772,
M2.2.1.2,2017-01-31,v2.05, , 1.000000,
M2.2.1.3,2017-01-31,v2.05, , 3.000000,
M2.2.2.1,2017-01-31,v2.05, , 0.487897,
M2.2.2.2,2017-01-31,v2.05, , 1.000000,
M2.2.2.3,2017-01-31,v2.05, , 2.000000,
M2.2.3.1,2017-01-31,v2.05, , 0.181811,
M2.2.3.2,2017-01-31,v2.05, , 1.000000,
M2.2.3.3,2017-01-31,v2.05, , 2.000000,
M2.2.4.1,2017-01-31,v2.05, , 26.634091,
M2.2.4.2,2017-01-31,v2.05, , 1.000000,
M2.2.4.3,2017-01-31,v2.05, , 1.000000,
M2.2.5,2017-01-31,v2.05, , 4,
M3.1,2017-01-31,v2.05, , 0.555353,
M3.2,2017-01-31,v2.05, , 0.495457,
M3.3.1,2017-01-31,v2.05, LOCAL, 0.021868,
M3.3.1,2017-01-31,v2.05, INVALID, 0.002961,
M3.3.1,2017-01-31,v2.05, LOCALHOST, 0.002506,
M3.3.1,2017-01-31,v2.05, TEST, 0.000228,
M3.3.2,2017-01-31,v2.05, HOME, 0.026651,
M3.3.2,2017-01-31,v2.05, IP, 0.012528,
M3.3.2,2017-01-31,v2.05, LOCALDOMAIN, 0.010706,
M3.3.2,2017-01-31,v2.05, NEO, 0.005695,
M3.3.2,2017-01-31,v2.05, Z, 0.005239,
M3.3.2,2017-01-31,v2.05, DHCP, 0.003872,
M3.3.2,2017-01-31,v2.05, BELKIN, 0.002961,
M3.3.2,2017-01-31,v2.05, LAN, 0.002733,
M3.3.2,2017-01-31,v2.05, INTERNAL, 0.002278,
M3.3.2,2017-01-31,v2.05, WORKGROUP, 0.002278,
M3.3.2,2017-01-31,v2.05, CORP, 0.002050,
M3.3.2,2017-01-31,v2.05, COMG, 0.001595,
M3.3.2,2017-01-31,v2.05, DOMAIN, 0.001367,
M3.3.2,2017-01-31,v2.05, LOC, 0.001367,
M3.3.2,2017-01-31,v2.05, PK5001Z, 0.001367,
M3.3.2,2017-01-31,v2.05, TELUS, 0.001367,
M3.3.2,2017-01-31,v2.05, HOMESTATION, 0.001139,
M3.3.3,2017-01-31,v2.05, binary, 0.052392,
M3.3.3,2017-01-31,v2.05, chr_10, 0.036902,
M3.3.3,2017-01-31,v2.05, chr_7, 0.034852,
M3.3.3,2017-01-31,v2.05, chr_8, 0.033713,
M3.3.3,2017-01-31,v2.05, numeric, 0.033713,
M3.3.3,2017-01-31,v2.05, chr_14, 0.030524,
M3.3.3,2017-01-31,v2.05, chr_15, 0.030524,
M3.3.3,2017-01-31,v2.05, chr_11, 0.030296,
M3.3.3,2017-01-31,v2.05, chr_13, 0.029157,
M3.3.3,2017-01-31,v2.05, chr_9, 0.029157,
M3.3.3,2017-01-31,v2.05, chr_12, 0.028246,
M3.3.3,2017-01-31,v2.05, bad_syntax, 0.016856,
M3.3.3,2017-01-31,v2.05, ipv4, 0.003645,
M3.3.3,2017-01-31,v2.05, length_3, 0.003417,
M3.3.3,2017-01-31,v2.05, length_6, 0.002506,
M3.3.3,2017-01-31,v2.05, length_4, 0.002278,
M3.3.3,2017-01-31,v2.05, length_8, 0.002050,
M3.3.3,2017-01-31,v2.05, length_5, 0.001367,
M3.3.3,2017-01-31,v2.05, length_9, 0.001139,
